path,pageType,status,contentType,canonical,robots,title,metaDescription,h1Count,mainCount,imageCount,missingAltCount,textLength,textFingerprint,mainTextLength,mainTextFingerprint
"/","home","200","text/html; charset=utf-8","https://bettergrades.net/","index, follow","Better Grades — Free answers, full explanations","Find free academic answers, complete explanations, practical tools, and focused practice.","1","1","0","0","6710","884b62d0c69af9a23c7bf09b22bea630c76400cfb3af06848907f7b40fda993e","5531","31e5e93aac46884eb02cd511808812fb9772f04b74b0210ac4d5239fd5703957"
"/subjects/","subject-or-article","200","text/html; charset=utf-8","https://bettergrades.net/subjects/","index, follow","Browse subjects | Better Grades","Explore Better Grades resources by subject and course.","1","1","0","0","1540","4aad690937860a383c81ddd1f1106fc29698d06b25763502a1e429f0b9486bf5","377","121e0d5c24b80c33a78134bf6d845da687a63770018c362b90d014125adce9a6"
"/practice/","practice","200","text/html; charset=utf-8","https://bettergrades.net/practice/","index, follow","Free quizzes and practice exams | Better Grades","Use focused quizzes, diagnostics, practice exams, and challenges with explanations.","1","1","0","0","17973","f560ae29520a0bc1372c26dce57f9a29250eb34ae2a47673aec046e78e869e70","16794","a9febebf7bfc37717294bca4ee886a2c2f913500be2612e760e3cabc0e88e619"
"/practice/math/","practice","200","text/html; charset=utf-8","https://bettergrades.net/practice/math/","index, follow","Mathematics practice | Better Grades","Browse free mathematics quizzes, diagnostics, practice exams, and challenges.","1","1","0","0","17991","32d2cb552c8b583bbe107dd82664f8708e3b90595eb87ddb9adccbda51f4685c","16823","c84b27448f724f2137face6b9a01376f2afe4b4075b127837b8944ed991f2ee9"
"/practice/math/calculus/","practice","200","text/html; charset=utf-8","https://bettergrades.net/practice/math/calculus/","index, follow","Calculus practice | Better Grades","Choose a calculus quiz, diagnostic, practice exam, or challenge.","1","1","0","0","17960","da9fbc47f3e670dfda5bf0676e50e7bd1dc23f788ec03ab2ff4d9bf8638f9f9f","16795","b55b4a8c883a418f2882f759446b9fac66626665670e3c15e7222ccd05863f9b"
"/answers/","answer","200","text/html; charset=utf-8","https://bettergrades.net/answers/","index, follow","Search the answer bank | Better Grades","Find specific problems, immediate answers, complete solutions, and related practice.","1","1","0","0","5317","6e978bee3687d34fb34a5fedb57bbf0568cd2f9c944f91a67603f8dc6f8bb121","4147","98233119796a0d3abfa67c2de432c3488ad0c791a79441167c9bc0b05c72c9a9"
"/answers/calculus/integral-of-sec-cubed/","answer","200","text/html; charset=utf-8","https://bettergrades.net/answers/calculus/integral-of-sec-cubed/","index, follow","What is the integral of sec³x? | Better Grades","See the full integration-by-parts derivation, verification, and common mistakes.","1","1","0","0","4748","306667e82da144655d78f2562e10e137da225e2d8e7a132c502ab300b35a6290","2771","89b98774279bfd9215351ef47b7fc932e303a580c1dfe5333e484752ea0523fb"
"/tools/","tool","200","text/html; charset=utf-8","https://bettergrades.net/tools/","index, follow","Math tools with visible limits | Better Grades","Use practical academic tools that explain what they do and where they may fail.","1","1","0","0","1893","0f2285a06da3b1d0bacb2b8b9d0575c5527edfa0c5b3fbb1b82f1fb10fd40269","715","89870521e44c7b1e306cfd4ae9580ee4a206f8358508dd94ab0c4e6d322de933"
"/glossary/","glossary","200","text/html; charset=utf-8","https://bettergrades.net/glossary/","index, follow","Better Grades glossaries | Better Grades","Browse subject-specific definitions, symbols, and notation conventions.","1","1","0","0","1679","76bc54e4b7e6c8b7b3c2dd44bf0d69d8306cb874af486cacd2f4f19bf06b3fb1","17","819be067e513b78c31e8c4cd20aed0fbc1ef0de8c43d3b4c9914d263fecd7d57"
"/glossary/math/","glossary","200","text/html; charset=utf-8","https://bettergrades.net/glossary/math/","index, follow","Mathematics glossary | Better Grades","Look up mathematics terms and symbols with visual notation and concise definitions.","1","1","0","0","40159","4512fbdeed2f6797065ed36eb0812869d76ec8bb75e281c8f855cd53d7252382","17","819be067e513b78c31e8c4cd20aed0fbc1ef0de8c43d3b4c9914d263fecd7d57"
"/glossary/math/conventions/","glossary","200","text/html; charset=utf-8","https://bettergrades.net/glossary/math/conventions/","index, follow","Mathematics variable and notation conventions | Better Grades","See the variable, naming, and notation rules used throughout Better Grades mathematics content.","1","1","0","0","4720","7dc77831e1a44cc8fa35302f9d88928451966fe6f3d601ffd393301ebf9f5671","17","819be067e513b78c31e8c4cd20aed0fbc1ef0de8c43d3b4c9914d263fecd7d57"
"/search/","policy-or-directory","200","text/html; charset=utf-8","https://bettergrades.net/search/","index, follow","Search Better Grades | Better Grades","Search free answers, complete topic guides, practice, tools, and visual mathematics definitions.","1","1","0","0","6784","33556b4758fbbd22572fadd38fa961240e73838285d966148be4cf2cb734bb79","5616","8ece98512295953d6b57a3153310901c54c868a9516a5810449414dffc546d55"
"/about/","policy-or-directory","200","text/html; charset=utf-8","https://bettergrades.net/about/","index, follow","Better Grades | Better Grades","Better Grades publishing and product standards.","1","1","0","0","1872","cfc0a119a90573442c732cc2d8f8812a9ec9937c291261851d67f8967088f376","711","f79d04e4c85a93353855c4c12628ab95c494101d542a575c248c7782429e14d1"
"/how-we-verify/","policy-or-directory","200","text/html; charset=utf-8","https://bettergrades.net/how-we-verify/","index, follow","Better Grades | Better Grades","Better Grades publishing and product standards.","1","1","0","0","1840","3258c71f1a4b2b8bdc354096df9460d9ff0a0e0d4d692d8b1751fb3d5dbdc961","679","c1b0ce9410f75e5eefb35c2e7da06213389fb34bddce385f0dfebf898ac148cb"
"/editorial-policy/","policy-or-directory","200","text/html; charset=utf-8","https://bettergrades.net/editorial-policy/","index, follow","Better Grades | Better Grades","Better Grades publishing and product standards.","1","1","0","0","1755","4657257a57b362fec551ebe03f11eac2a7d706c8109852e6def687cb8ed134f9","594","98bc100b6c25ae9d31d187be11b92c23a3df92d8472a746831a6edf9c888659f"
"/source-policy/","policy-or-directory","200","text/html; charset=utf-8","https://bettergrades.net/source-policy/","index, follow","Better Grades | Better Grades","Better Grades publishing and product standards.","1","1","0","0","1859","91d7cff571a97519d759abb7a4b3c86cce422d37da2b5cb20fe640256d32ba88","698","4eedef711b7cd51512445e1e7f353f1c601b05ef6286fe41b0e9bd4880eced22"
"/corrections/","policy-or-directory","200","text/html; charset=utf-8","https://bettergrades.net/corrections/","index, follow","Better Grades | Better Grades","Better Grades publishing and product standards.","1","1","0","0","1839","01fb67a4a9ef4d931d9dda023067b682fa87350025fde72ac98bce86b37578c7","678","aaf8290e1f4f43a2a87e093b93611964a65c2a8917df97df969a47d37d922b25"
"/privacy/","policy-or-directory","200","text/html; charset=utf-8","https://bettergrades.net/privacy/","index, follow","Better Grades | Better Grades","Better Grades publishing and product standards.","1","1","0","0","2241","7b21a0e5cb94857a538c5fe58b86dd0d1f7b26ecdbc53f2d4faf019a46988f93","1080","25621b786ad5d8d853c7bb9fe0b671b4df8ff2e213b7ad946fcb9edc191fad2b"
"/accessibility/","policy-or-directory","200","text/html; charset=utf-8","https://bettergrades.net/accessibility/","index, follow","Better Grades | Better Grades","Better Grades publishing and product standards.","1","1","0","0","1794","6e9d6b5a9e7604a5105f1d1c79afb24eccf5b14b16fc11e3b482c5ff4e4d36ae","633","055531c3c7ab4af230fe4fc7c4cc8e93c3277edf54f587dce18c00ead573077f"
"/subjects/math/","subject-or-article","200","text/html; charset=utf-8","https://bettergrades.net/subjects/math/","index, follow","Mathematics | Better Grades","Clear explanations, worked examples, tools, and practice organized by the mathematics you are learning.","1","1","0","0","1707","5d51aee8885ac5d4fee7549f4b84fa4c511f38a0f6128ec3b1714fc8e6f8afdb","548","3a2d31250e56aad83f08b1591bcc5630bc285072bfe9f26c903888c3a2931ee4"
